Date,Open,High,Low,Close,Adj Close,Stock,Year,Month
2017-04-20,141.22,142.92,141.16,142.44,135.95,Apple,2017,4
2017-04-21,142.44,142.68,141.85,142.27,135.79,Apple,2017,4
2017-04-24,143.5,143.95,143.18,143.64,137.1,Apple,2017,4
2017-04-25,143.91,144.9,143.87,144.53,137.95,Apple,2017,4
2017-04-26,144.47,144.6,143.38,143.68,137.13,Apple,2017,4
2017-04-27,143.92,144.16,143.31,143.79,137.24,Apple,2017,4
2017-04-28,144.09,144.3,143.27,143.65,137.11,Apple,2017,4
2017-05-01,145.1,147.2,144.96,146.58,139.9,Apple,2017,5
2017-05-02,147.54,148.09,146.84,147.51,140.79,Apple,2017,5
2017-05-03,145.59,147.49,144.27,147.06,140.36,Apple,2017,5
2017-05-04,146.52,147.14,145.81,146.53,139.85,Apple,2017,5
2017-05-05,146.76,148.98,146.76,148.96,142.17,Apple,2017,5
2017-05-08,149.03,153.7,149.03,153.01,146.04,Apple,2017,5
2017-05-09,153.87,154.88,153.45,153.99,146.98,Apple,2017,5
2017-05-10,153.63,153.94,152.11,153.26,146.28,Apple,2017,5
2017-05-11,152.45,154.07,152.31,153.95,147.54,Apple,2017,5
2017-05-12,154.7,156.42,154.67,156.1,149.6,Apple,2017,5
2017-05-15,156.01,156.65,155.05,155.7,149.22,Apple,2017,5
2017-05-16,155.94,156.06,154.72,155.47,148.99,Apple,2017,5
2017-05-17,153.6,154.57,149.71,150.25,143.99,Apple,2017,5
2017-05-18,151.27,153.34,151.13,152.54,146.19,Apple,2017,5
2017-05-19,153.38,153.98,152.63,153.06,146.69,Apple,2017,5
2017-05-22,154.0,154.58,152.91,153.99,147.58,Apple,2017,5
2017-05-23,154.9,154.9,153.31,153.8,147.39,Apple,2017,5
2017-05-24,153.84,154.17,152.67,153.34,146.95,Apple,2017,5
2017-05-25,153.73,154.35,153.03,153.87,147.46,Apple,2017,5
2017-05-26,154.0,154.24,153.31,153.61,147.21,Apple,2017,5
2017-05-30,153.42,154.43,153.33,153.67,147.27,Apple,2017,5
2017-05-31,153.97,154.17,152.38,152.76,146.4,Apple,2017,5
2017-06-01,153.17,153.33,152.22,153.18,146.8,Apple,2017,6
2017-06-02,153.58,155.45,152.89,155.45,148.98,Apple,2017,6
2017-06-05,154.34,154.45,153.46,153.93,147.52,Apple,2017,6
2017-06-06,153.9,155.81,153.78,154.45,148.02,Apple,2017,6
2017-06-07,155.02,155.98,154.48,155.37,148.9,Apple,2017,6
2017-06-08,155.25,155.54,154.4,154.99,148.53,Apple,2017,6
2017-06-09,155.19,155.19,146.02,148.98,142.78,Apple,2017,6
2017-06-12,145.74,146.09,142.51,145.42,139.36,Apple,2017,6
2017-06-13,147.16,147.45,145.15,146.59,140.48,Apple,2017,6
2017-06-14,147.5,147.5,143.84,145.16,139.11,Apple,2017,6
2017-06-15,143.32,144.48,142.21,144.29,138.28,Apple,2017,6
2017-06-16,143.78,144.5,142.2,142.27,136.34,Apple,2017,6
2017-06-19,143.66,146.74,143.66,146.34,140.25,Apple,2017,6
2017-06-20,146.87,146.87,144.94,145.01,138.97,Apple,2017,6
2017-06-21,145.52,146.07,144.61,145.87,139.79,Apple,2017,6
2017-06-22,145.77,146.7,145.12,145.63,139.56,Apple,2017,6
2017-06-23,145.13,147.16,145.11,146.28,140.19,Apple,2017,6
2017-06-26,147.17,148.28,145.38,145.82,139.75,Apple,2017,6
2017-06-27,145.01,146.16,143.62,143.73,137.74,Apple,2017,6
2017-06-28,144.49,146.11,143.16,145.83,139.76,Apple,2017,6
2017-06-29,144.71,145.13,142.28,143.68,137.7,Apple,2017,6
2017-06-30,144.45,144.96,143.78,144.02,138.02,Apple,2017,6
2017-07-03,144.88,145.3,143.1,143.5,137.52,Apple,2017,7
2017-07-05,143.69,144.79,142.72,144.09,138.09,Apple,2017,7
2017-07-06,143.02,143.5,142.41,142.73,136.79,Apple,2017,7
